Token	True POS	Predicted POS
estimated	VBN	VBN
previously	RB	RB
give	VB	VB
The	DT	DT
.	.	.
is	VBZ	VBZ
quarter	NN	NN
the	DT	DT
of	IN	IN
management	NN	NN
part	NN	NN
of	IN	IN
from	IN	IN
meetings	NNS	NNS
completed	VBD	VBN
unit	NN	NN
and	CC	CC
Brands	NNP	NNS
debt	NN	NN
130.46	CD	CD
steelmakers	NNS	NNS
25	CD	CD
By	IN	IN
at	IN	IN
guts	NNS	NNS
million	CD	CD
to	TO	TO
novels	NNS	NNS
years	NNS	NNS
alternative	NN	NN
.	.	.
credit	NN	NN
rebut	VB	VB
surprises	NNS	NNS
bailout	NN	NN
year	NN	NN
the	DT	DT
Jersey	NNP	NNP
not	RB	RB
guarantees	NNS	NNS
of	IN	IN
month	NN	NN
1988	CD	CD
handful	NN	NN
%	NN	NN
Revenue	NN	NN
built	VBD	VBN
America	NNP	NNP
defeated	VBN	VBN
and	CC	CC
it	PRP	PRP
a	DT	DT
will	MD	MD
crook	NN	NN
,	,	,
previous	JJ	JJ
,	,	,
.	.	.
the	DT	DT
Load	NN	NN
result	NN	NN
could	MD	MD
Quick	NNP	JJ
an	DT	DT
agencies	NNS	NNS
this	DT	DT
Those	DT	DT
dormant	JJ	NNP
San	NNP	NNP
puts	VBZ	VBZ
profit	NN	NN
largest	JJS	JJS
ended	VBN	VBD
unfazed	VBN	VBN
,	,	,
's	POS	POS
Securities	NNP	NNS
.	.	.
hold	VB	VB
securities	NNS	NNS
ended	VBN	VBD
,	,	,
You	PRP	PRP
also	RB	RB
million	CD	CD
of	IN	IN
debt	NN	NN
,	,	,
The	DT	DT
a	DT	DT
base	NN	NN
,	,	,
to	TO	TO
in	IN	IN
&	CC	CC
depress	VB	VB
Savageau	NNP	NNP
Mississippi	NNP	NNP
the	DT	DT
's	VBZ	POS
But	CC	CC
consensus	NN	NN
trading	NN	NN
pushing	VBG	VBG
the	DT	DT
banks	NNS	NNS
to	TO	TO
maybe	RB	RB
to	TO	TO
but	CC	CC
are	VBP	VBP
.	.	.
the	DT	DT
out	IN	IN
leery	JJ	JJ
confirmed	VBD	VBD
lead	NN	VB
success	NN	NN
package	NN	NN
junkets	NNS	NNS
Other	JJ	JJ
can	MD	MD
rose	VBD	VBD
were	VBD	VBD
Kaitaia	NNP	NNP
its	PRP$	PRP$
a	DT	DT
holding	VBG	VBG
which	WDT	WDT
agreed	VBD	VBD
%	NN	NN
on	IN	IN
Paul	NNP	NNP
annually	RB	RB
plan	NN	NN
%	NN	NN
past	JJ	JJ
the	DT	DT
n't	RB	RB
``	``	``
require	VBP	VB
previous	JJ	JJ
wiggle	NN	NN
of	IN	IN
member	NN	NN
I	PRP	PRP
said	VBD	VBD
's	POS	POS
interest	NN	NN
to	TO	TO
were	VBD	VBD
unit	NN	NN
concrete	JJ	JJ
the	DT	DT
phased	VBN	VBN
1.32	CD	CD
federal	JJ	JJ
chance	NN	NN
the	DT	DT
digits	NNS	NNS
is	VBZ	VBZ
retail	JJ	JJ
by	IN	IN
the	DT	DT
;	:	:
consumer-electronics	NNS	NNS
operating	VBG	VBG
projections	NNS	NNS
sociologist	NN	NN
the	DT	DT
the	DT	DT
Electronics	NNP	NNS
question	NN	NN
in	IN	IN
heat	NN	NN
the	DT	DT
men	NNS	NNS
auto	NN	NN
mortgage	NN	NN
Dole	NNP	NNP
7.5	CD	CD
accept	VB	VB
improved	VBN	VBN
have	VBP	VBP
tell	VB	VB
be	VB	VB
to	TO	TO
executive	JJ	JJ
.	.	.
million	CD	CD
failure	NN	NN
a	DT	DT
fact	NN	NN
,	,	,
spokesman	NN	NN
In	IN	IN
in	IN	IN
the	DT	DT
streets	NNS	NNS
popular	JJ	JJ
quarter	NN	NN
negative	JJ	JJ
news	NN	NN
to	TO	TO
where	WRB	WRB
scrap	VB	NN
Figure	NN	NN
at	IN	IN
to	TO	TO
%	NN	NN
fund	NN	NN
at	IN	IN
to	TO	TO
the	DT	DT
None	NN	NN
,	,	,
fear	NN	NN
compared	VBN	VBN
from	IN	IN
refining	NN	NN
because	IN	IN
takeover	NN	NN
territory	NN	NN
rate	NN	NN
these	DT	DT
1\/2	CD	CD
,	,	,
narrowed	VBD	VBD
those	DT	DT
have	VB	VBP
Raymond	NNP	NNP
fewer	JJR	JJR
damage	NN	NN
gas	NN	NN
computers	NNS	NNS
but	CC	CC
of	IN	IN
an	DT	DT
is	VBZ	VBZ
route	NN	NN
points	NNS	NNS
biggest	JJS	JJS
million	CD	CD
$	$	$
Another	DT	DT
quiescent	JJ	JJ
share	NN	NN
no	RB	DT
The	DT	DT
Everyone	NN	NN
,	,	,
is	VBZ	VBZ
particularly	RB	RB
plenty	NN	NN
80	CD	CD
to	TO	TO
time	NN	NN
Bapilly	NNP	RB
But	CC	CC
common	JJ	JJ
working	VBG	VBG
brand	NN	NN
Public	NNP	JJ
of	IN	IN
known	VBN	VBN
.	.	.
the	DT	DT
$	$	$
if	IN	IN
said	VBD	VBD
year	NN	NN
equipment	NN	NN
,	,	,
to	TO	TO
we	PRP	PRP
since	IN	IN
%	NN	NN
matches	VBZ	VBZ
10.44	CD	CD
cents	NNS	NNS
by	IN	IN
awful	JJ	JJ
``	``	``
holdings	NNS	NNS
the	DT	DT
The	DT	DT
exploring	VBG	VBG
competition	NN	NN
whopping	JJ	JJ
Hollywood	NNP	NNP
The	DT	DT
Gov.	NNP	NNP
could	MD	MD
undervalued	VBN	VBD
sign	VB	NN
a	DT	DT
of	IN	IN
Tuesday	NNP	NNP
this	DT	DT
year	NN	NN
and	CC	CC
have	VBP	VBP
be	VB	VB
its	PRP$	PRP$
image	NN	NN
1980s	CD	CD
``	``	``
rest	VBP	NN
smallest	JJS	JJS
,	,	,
of	IN	IN
sale	NN	NN
holdings	NNS	NNS
The	DT	DT
best	JJS	JJS
next	JJ	JJ
AMR	NNP	NNP
employees	NNS	NNS
.	.	.
.	.	.
.	.	.
Tilly	NNP	RB
venture	NN	NN
this	DT	DT
analyst	NN	NN
double-coupon	NN	JJ
do	VBP	VBP
,	,	,
%	NN	NN
less-developed	JJ	JJ
National	NNP	NNP
had	VBD	VBD
Graduate	NNP	VB
Michael	NNP	NNP
in	IN	IN
the	DT	DT
.	.	.
''	''	''
,	,	,
the	DT	DT
the	DT	DT
was	VBD	VBD
The	DT	DT
fight	VB	VB
1\/2	CD	CD
economists	NNS	NNS
bureaus	NN	NN
including	VBG	VBG
.	.	.
is	VBZ	VBZ
earnings	NNS	NNS
will	MD	MD
northeast	NN	NNP
not	RB	RB
or	CC	CC
Boren	NNP	NNP
most	RBS	RBS
special	JJ	JJ
.	.	.
to	TO	TO
that	IN	IN
.	.	.
the	DT	DT
says	VBZ	VBZ
a	DT	DT
incorrect	JJ	JJ
cost	NN	NN
spending	NN	NN
whose	WP$	WP$
factor	NN	NN
yesterday	NN	NN
International	NNP	NNP
key	JJ	JJ
8.53	CD	CD
the	DT	DT
or	CC	CC
a	DT	DT
climbing	VBG	VBG
,	,	,
lost	VBD	VBD
lost	VBD	VBD
to	TO	TO
%	NN	NN
Friday	NNP	NNP
make	VB	VB
.	.	.
.	.	.
slowdown	NN	NN
Susie	NNP	NNP
the	DT	DT
the	DT	DT
fund	NN	NN
does	VBZ	VBZ
.	.	.
he	PRP	PRP
borrow	VB	VB
strikes	NNS	NNS
.	.	.
would	MD	MD
D'Arcy	NNP	NNP
by	IN	IN
vice	NN	NN
gas	NN	NN
need	VB	VBP
7.4	CD	CD
more	JJR	JJR
handled	VBD	VBN
mainframe	NN	NN
the	DT	DT
was	VBD	VBD
building	NN	NN
Kodak	NNP	NNP
With	IN	IN
he	PRP	PRP
New	NNP	JJ
foxes	NNS	NNS
difficulty	NN	NN
a	DT	DT
.	.	.
audiences	NNS	NNS
the	DT	DT
the	DT	DT
ACLU	NNP	NNP
a	DT	DT
28	CD	CD
Co.	NNP	NNP
living	VBG	VBG
in	IN	IN
sing	VB	VBG
instead	RB	RB
the	DT	DT
situation	NN	NN
million	CD	CD
Office	NNP	NN
American	NNP	NNP
comparison	NN	NN
loss	NN	NN
the	DT	DT
also	RB	RB
as	IN	IN
and	CC	CC
a	DT	DT
the	DT	DT
However	RB	RB
itself	PRP	PRP
Federal	NNP	JJ
but	CC	CC
early	JJ	JJ
.	.	.
outlays	NNS	NNS
a	DT	DT
and	CC	CC
stores	NNS	NNS
,	,	,
that	IN	IN
more	RBR	JJR
$	$	$
a	DT	DT
target	NN	NN
,	,	,
Reebok	NNP	NNP
n't	RB	RB
subject	NN	NN
to	TO	TO
,	,	,
stocks	NNS	NNS
long-term	JJ	JJ
2.75	CD	CD
adjustments	NNS	NNS
Confair	NNP	NNP
.	.	.
Hollywood	NNP	NNP
's	POS	POS
Japanese	JJ	JJ
apparently	RB	RB
's	POS	POS
York	NNP	NNP
New	NNP	JJ
and	CC	CC
the	DT	DT
held	VBN	VBN
preceding	VBG	VBG
brewery	NN	NNP
said	VBD	VBD
by	IN	IN
or	CC	CC
Co.	NNP	NNP
,	,	,
parks	NNS	NNS
inspectors	NNS	NNS
some	DT	DT
spacecraft	NN	NN
HUD	NNP	NNP
expense	NN	NN
and	CC	CC
wages	NNS	NNS
valid	JJ	JJ
be	VB	VB
would	MD	MD
Chicago	NNP	NNP
thefts	NNS	NNS
own	VB	JJ
,	,	,
's	POS	POS
overhanging	VBG	VBG
of	IN	IN
13	CD	CD
contingent	JJ	JJ
will	MD	MD
life	NN	NN
investor	NN	NN
%	NN	NN
far	RB	RB
with	IN	IN
palladium	NN	NN
fact	NN	NN
$	$	$
Average	NNP	JJ
She	PRP	PRP
quarter	NN	NN
.	.	.
--	:	:
,	,	,
Defuse	VB	VB
.	.	.
n't	RB	RB
,	,	,
wildly	RB	RB
employed	VBN	VBD
a	DT	DT
a	DT	DT
billion	CD	CD
it	PRP	PRP
,	,	,
cars	NNS	NNS
as	IN	IN
send	VB	VB
for	IN	IN
Subsidizing	VBG	VBG
Levine	NNP	NNP
operating	VBG	VBG
,	,	,
pattern	NN	NN
it	PRP	PRP
GOP	NNP	NNP
eventually	RB	RB
income	NN	NN
cash	NN	NN
Holmes	NNP	NNP
it	PRP	PRP
relatively	RB	RB
results	NNS	NNS
manufacturing	NN	NN
Mr.	NNP	NNP
hereditary	JJ	RB
shore	VB	NN
consecutive	JJ	JJ
as	IN	IN
61,493	CD	CD
bonds	NNS	NNS
is	VBZ	VBZ
Schwartz	NNP	NNP
men	NNS	NNS
's	POS	POS
activities	NNS	NNS
on	IN	IN
Britain	NNP	NNP
in	IN	IN
Christmas	NNP	NNP
stretched	VBD	VBN
days	NNS	NNS
and	CC	CC
.	.	.
all-time	JJ	JJ
cash	NN	NN
debate	NN	NN
three	CD	CD
Vietnam	NNP	NNP
a	DT	DT
says	VBZ	VBZ
any	DT	DT
return	NN	NN
150	CD	CD
government	NN	NN
a	DT	DT
,	,	,
whiskey	NN	NN
invitations	NNS	NNS
significant	JJ	JJ
index	NN	NN
to	TO	TO
a	DT	DT
City	NNP	NN
been	VBN	VBN
from	IN	IN
analysts	NNS	NNS
in	IN	IN
quite	RB	RB
point	NN	NN
.	.	.
,	,	,
.	.	.
stripped	VBN	VBD
all	DT	DT
skiers	NNS	NNS
home	NN	NN
into	IN	IN
Friday	NNP	NNP
any	DT	DT
40	CD	CD
over	IN	IN
to	TO	TO
all	DT	DT
at	IN	IN
Consumer	NNP	NN
due	JJ	JJ
$	$	$
could	MD	MD
staff	NN	NN
of	IN	IN
UAL	NNP	NNP
allowed	VBN	VBN
they	PRP	PRP
operating	NN	VBG
it	PRP	PRP
to	TO	TO
'	POS	POS
such	JJ	JJ
begins	VBZ	VBZ
No	RB	DT
you	PRP	PRP
corporate	JJ	JJ
A	DT	DT
of	IN	IN
the	DT	DT
generates	VBZ	VBZ
Oct.	NNP	NNP
has	VBZ	VBZ
claims	NNS	NNS
,	,	,
Our	PRP$	PRP$
,	,	,
B.A.T	NNP	NNP
especially	RB	RB
1980	CD	CD
$	$	$
a	DT	DT
Some	DT	DT
increases	NNS	NNS
the	DT	DT
40	CD	CD
my	PRP$	PRP$
Missouri	NNP	NNP
U.S.	NNP	NNP
companies	NNS	NNS
have	VB	VBP
U.S.	NNP	NNP
,	,	,
a	DT	DT
said	VBD	VBD
increase	VB	NN
Communications	NNP	NNP
Tuesday	NNP	NNP
sale	NN	NN
1987	CD	CD
be	VB	VB
convertible	JJ	JJ
item	NN	NN
by	IN	IN
Group	NNP	NN
year	NN	NN
image	NN	NN
health	NN	NN
initial	JJ	JJ
Did	VBD	VBD
years	NNS	NNS
.	.	.
It	PRP	PRP
want	VBP	VBP
or	CC	CC
Guber	NNP	NNP
year	NN	NN
except	IN	IN
,	,	,
only	RB	RB
that	WDT	IN
said	VBD	VBD
blames	VBZ	VBZ
maturity	NN	NN
funded	VBN	VBN
and	CC	CC
44	CD	CD
bid	VB	NN
n't	RB	RB
discount	NN	NN
shopkeepers	NNS	NNS
extra	JJ	JJ
have	VB	VBP
skiers	NNS	NNS
and	CC	CC
slipped	VBD	VBD
items	NNS	NNS
the	DT	DT
and	CC	CC
cents	NNS	NNS
Honecker	NNP	NNP
He	PRP	PRP
they	PRP	PRP
Companies	NNS	NNS
losing	NN	VBG
number	NN	NN
observers	NNS	NNS
opportunity	NN	NN
.	.	.
appear	VB	VB
to	TO	TO
.	.	.
of	IN	IN
``	``	``
,	,	,
is	VBZ	VBZ
The	DT	DT
.	.	.
alone	RB	RB
backed	VBN	VBN
South	NNP	NNP
future	NN	NN
time	NN	NN
also	RB	RB
cloth	NN	NN
allies	NNS	NNS
groups	NNS	NNS
Willman	NNP	NNP
of	IN	IN
million	CD	CD
a	DT	DT
7	CD	CD
to	TO	TO
now	RB	RB
before	IN	IN
stake	NN	NN
translated	VBN	VBN
reserve	NN	NNP
Lombardi	NNP	NNP
Agency	NNP	NN
priced	VBN	VBN
to	TO	TO
also	RB	RB
for	IN	IN
the	DT	DT
at	IN	IN
Digital	NNP	NNP
a	DT	DT
be	VB	VB
$	$	$
If	IN	IN
McCann-Erickson	NNP	NNP
commitment	NN	NN
most	RBS	RBS
group	NN	NN
.	.	.
Los	NNP	NNP
House	NNP	NNP
sudden	JJ	JJ
issues	NNS	NNS
traders	NNS	NNS
who	WP	WP
with	IN	IN
on	IN	IN
,	,	,
of	IN	IN
departures	NNS	NNS
belief	NN	NN
IBM	NNP	NNP
n't	RB	RB
.	.	.
firms	NNS	NNS
of	IN	IN
the	DT	DT
pass	VB	VB
the	DT	DT
.	.	.
lines	NNS	NNS
up	RB	IN
the	DT	DT
a	DT	DT
the	DT	DT
n't	RB	RB
a	DT	DT
Street	NNP	NNP
company	NN	NN
breakthrough	NN	IN
from	IN	IN
guarantees	NNS	NNS
cool	JJ	VB
structure	NN	NN
invested	VBD	VBN
.	.	.
&	CC	CC
Mattel	NNP	NNP
misleading	JJ	JJ
British	JJ	JJ
efforts	NNS	NNS
many	JJ	JJ
try	VB	VB
a	DT	DT
453	CD	CD
whose	WP$	WP$
latest	JJS	JJS
the	DT	DT
--	:	:
off	IN	IN
the	DT	DT
5	NN	NN
outstanding	JJ	JJ
with	IN	IN
In	IN	IN
the	DT	DT
food	NN	NN
the	DT	DT
was	VBD	VBD
's	POS	POS
coastline	NN	NN
Market	NN	NN
knew	VBD	VBD
,	,	,
such	JJ	JJ
from	IN	IN
LBO	NNP	NNP
month	NN	NN
the	DT	DT
''	''	''
mink	NN	NN
formal	JJ	JJ
,	,	,
as	IN	IN
their	PRP$	PRP$
carry	VB	VB
99	CD	CD
it	PRP	PRP
,	,	,
start	VB	VB
,	,	,
Rep.	NNP	NNP
the	DT	DT
effect	NN	NN
bonds	NNS	NNS
bid	VBP	NN
business	NN	NN
Fujitsu	NNP	NNP
,	,	,
be	VB	VB
,	,	,
fine	NN	JJ
American	NNP	NNP
takeovers	NNS	NNS
million	CD	CD
overshadowing	VBG	VBG
you	PRP	PRP
market	NN	NN
million	CD	CD
bears	VBZ	VBZ
allies	NNS	NNS
were	VBD	VBD
parties	NNS	NNS
Brothers	NNPS	NNS
of	IN	IN
past	JJ	JJ
to	TO	TO
Cammack	NNP	NN
back	RB	RB
a	DT	DT
losses	NNS	NNS
results	NNS	NNS
can	MD	MD
Grand	NNP	NNP
--	:	:
commercial	JJ	JJ
on	IN	IN
the	DT	DT
conference	NN	NN
benefits	VBZ	NNS
217.5	CD	CD
the	DT	DT
's	POS	POS
Wayne	NNP	NNP
million	CD	CD
Then	RB	RB
stocks	NNS	NNS
the	DT	DT
sold	VBN	VBN
without	IN	IN
1\/2	CD	CD
I	PRP	PRP
Thevenot	NNP	NNP
,	,	,
``	``	``
headquarters	NN	NN
30	CD	CD
corner	NN	NN
to	TO	TO
J.	NNP	NNP
steel	NN	NN
in	IN	IN
marketers	NNS	NNS
industry	NN	NN
450	CD	CD
products	NNS	NNS
taken	VBN	VBN
income	NN	NN
anniversary	NN	NN
He	PRP	PRP
's	POS	POS
a	DT	DT
fund	NN	NN
off	IN	IN
slight	JJ	JJ
.	.	.
to	TO	TO
February	NNP	NNP
stopped	VBD	VBN
those	DT	DT
about	IN	IN
director	NN	NN
of	IN	IN
is	VBZ	VBZ
,	,	,
embraced	VBN	VBN
a	DT	DT
up	IN	IN
.	.	.
so	RB	RB
more	JJR	JJR
done	VBN	VBN
and	CC	CC
for	IN	IN
a	DT	DT
sixth	JJ	JJ
n't	RB	RB
to	TO	TO
Parker	NNP	NNP
criminal	JJ	JJ
lines	NNS	NNS
and	CC	CC
has	VBZ	VBZ
need	NN	VBP
crisis	NN	NN
year	NN	NN
Sen.	NNP	NNP
Along	IN	IN
trouble	NN	NN
said	VBD	VBD
had	VBD	VBD
lower	JJR	JJR
new	JJ	JJ
and	CC	CC
credit	NN	NN
the	DT	DT
at	IN	IN
Owners	NNS	NNS
5\/8	CD	CD
portfolio	NN	NN
stake	NN	NN
interpretation	NN	NN
commissioner	NN	NN
hear	VB	VB
days	NNS	NNS
an	DT	DT
AMR	NNP	NNP
loyal	JJ	JJ
troubled	JJ	JJ
are	VBP	VBP
East	NNP	NNP
William	NNP	NNP
the	DT	DT
complaint	NN	NN
sell	VB	VB
eligible	JJ	JJ
results	NNS	NNS
prices	NNS	NNS
would	MD	MD
daily	JJ	JJ
in	IN	IN
groups	NNS	NNS
addition	NN	NN
,	,	,
hefty	JJ	JJ
offered	VBN	VBN
to	TO	TO
,	,	,
failed	VBD	VBD
privately	RB	RB
Raymond	NNP	NNP
says	VBZ	VBZ
machine	NN	NN
Breger	NNP	NNP
employees	NNS	NNS
third	JJ	JJ
oil	NN	NN
for	IN	IN
in	IN	IN
earlier	RBR	RBR
Burns	NNP	NNP
than	IN	IN
the	DT	DT
the	DT	DT
the	DT	DT
the	DT	DT
group	NN	NN
Bank	NNP	NN
says	VBZ	VBZ
,	,	,
as	IN	IN
affect	VB	VB
growth	NN	NN
corporate	JJ	JJ
31	CD	CD
be	VB	VB
back	RB	RB
systems	NNS	NNS
.	.	.
time	NN	NN
position	NN	NN
have	VBP	VBP
in	IN	IN
its	PRP$	PRP$
and	CC	CC
California	NNP	NNP
.	.	.
their	PRP$	PRP$
first	JJ	JJ
that	IN	IN
case	NN	NN
revenue	NN	NN
,	,	,
such	JJ	JJ
the	DT	DT
Canadian	JJ	JJ
and	CC	CC
million	CD	CD
reform	NN	NN
the	DT	DT
reform	NN	NN
has	VBZ	VBZ
this	DT	DT
products	NNS	NNS
lot	NN	NN
Republican	NNP	NNP
's	POS	POS
8.5	CD	CD
in	IN	IN
statement	NN	NN
King	NNP	NNP
Its	PRP$	PRP$
already	RB	RB
source	NN	NN
which	WDT	WDT
a	DT	DT
antithetical	JJ	JJ
there	EX	EX
case	NN	NN
from	IN	IN
someone	NN	NN
composite	JJ	JJ
in	IN	IN
company	NN	NN
If	IN	IN
one	CD	CD
called	VBD	VBN
succeed	VB	VB
information	NN	NN
element	NN	NN
voters	NNS	NNS
and	CC	CC
a	DT	DT
Industries	NNPS	NNP
141.93	CD	CD
face	NN	NN
just	RB	RB
changes	NNS	NNS
erupted	VBD	VBD
under	IN	IN
and	CC	CC
York	NNP	NNP
the	DT	DT
USAir	NNP	NNP
They	PRP	PRP
states	NNS	NNS
''	''	''
time	NN	NN
institutions	NNS	NNS
Pentagon	NNP	NNP
years	NNS	NNS
under	IN	IN
of	IN	IN
Institutions	NNS	NNS
ticket	NN	NN
the	DT	DT
any	DT	DT
back	RB	RB
safety	NN	NN
,	,	,
Though	IN	IN
ours	PRP	NNS
contracts	NNS	NNS
difference	NN	NN
and	CC	CC
solid	JJ	JJ
its	PRP$	PRP$
Co.	NNP	NNP
Navy	NNP	NNP
late	JJ	JJ
share	NN	NN
for	IN	IN
House	NNP	NNP
up	RB	IN
,	,	,
be	VB	VB
one	CD	CD
all	DT	DT
bank	NN	NN
near	IN	IN
two	CD	CD
which	WDT	WDT
%	NN	NN
their	PRP$	PRP$
of	IN	IN
recent	JJ	JJ
coupon	NN	NN
list	NN	NN
believe	VB	VBP
at	IN	IN
put	VB	VB
U.S.	NNP	NNP
Average	NNP	JJ
year	NN	NN
Palma	NNP	NNP
hurt	VBN	VBN
Halloween	NNP	NNP
first	JJ	JJ
,	,	,
to	TO	TO
,	,	,
Soviet	JJ	NNP
at	IN	IN
higher	JJR	JJR
